molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL314057,CCN(CC)CC.O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)c1ccccc1,7300.0,intermediate
CHEMBL266842,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL314847,CC(C)(C)OC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL86984,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,9500.0,intermediate
CHEMBL87554,CCN(CC)CC.N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL421541,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL313345,CCN(CC)CC.O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)[C@H]1CCCN1,100000.0,inactive
CHEMBL262163,CCN(CC)CC.N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,45200.0,inactive
CHEMBL407131,CC(C)(C)OC(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL315431,CCN(CC)CC.N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL315220,CC(C)(C)OC(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL405650,CCN(CC)CC.N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,11100.0,inactive
CHEMBL313020,CCN(CC)CC.N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,10600.0,inactive
CHEMBL87116,CC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,22900.0,inactive
CHEMBL316111,CCN(CC)CC.N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL314864,CCN(CC)CC.O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)OCc1ccccc1,3600.0,intermediate
CHEMBL86349,CCN(CC)CC.O=C(Cc1c[nH]c2ccccc12)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,33900.0,inactive
CHEMBL313922,CCN(CC)CC.N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL314040,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,6800.0,intermediate
CHEMBL313818,CCN(CC)CC.O=C(CCCc1c[nH]c2ccccc12)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,29700.0,inactive
CHEMBL432562,CC(C)(C)OC(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,300.0,active
CHEMBL274683,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL86404,CCN(CC)CC.O=C(N[C@H](Cc1ccccc1)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)OCc1ccccc1,100000.0,inactive
CHEMBL85748,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,20700.0,inactive
CHEMBL86385,CCN(CC)CC.N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL85239,CC(C)(C)OC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,18300.0,inactive
CHEMBL409072,CCN(CC)CC.N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,22100.0,inactive
CHEMBL437042,CCN(CC)CC.O=C(CNC(=O)OCc1ccccc1)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,12100.0,inactive
CHEMBL85749,CCN(CC)CC.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,15100.0,inactive
CHEMBL314161,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL430453,CCN(CC)CC.Cc1cn(CCCn2cc(CC(=O)NCCOCCOCCOCCOP(=O)(O)Oc3ccccc3Cl)c3ccccc32)c2ccccc12,100000.0,inactive
CHEMBL84794,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,90700.0,inactive
CHEMBL313673,CCN(CC)CC.N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL85434,CC(C)(C)OC(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL313009,CCN(CC)CC.Cc1cn(CCCn2cc(CC(=O)NCCCCCCOP(=O)(O)Oc3ccccc3Cl)c3ccccc32)c2ccccc12,29400.0,inactive
CHEMBL431613,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,18900.0,inactive
CHEMBL384288,CC(C)(C)OC(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,100000.0,inactive
CHEMBL83234,CCN(CC)CC.N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,100000.0,inactive
CHEMBL83388,CCN(CC)CC.Cc1cn(CCCn2cc(CC(=O)NCCCCCCCCCCCCOP(=O)(O)Oc3ccccc3Cl)c3ccccc32)c2ccccc12,3600.0,intermediate
CHEMBL87237,CC(C)(C)OC(=O)N[C@H](CCC(=O)OCc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,6400.0,intermediate
CHEMBL87995,CCN(CC)CC.N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,13700.0,inactive
CHEMBL420795,CCN(CC)CC.Cc1cn(CCCn2cc(CC(=O)NCCCC(=O)N3CCCC3C(=O)NCCCCCCOP(=O)(O)Oc3ccccc3Cl)c3ccccc32)c2ccccc12,46900.0,inactive
CHEMBL315683,CCN(CC)CC.Cc1cn(CCCn2cc(CC(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc3ccccc3Cl)c3ccccc32)c2ccccc12,100000.0,inactive
CHEMBL155908,CC(=O)Nc1ccc(SC(=O)c2cccc(C=O)n2)cc1,100000.0,inactive
CHEMBL156248,O=Cc1cccc(C(=O)Sc2ccc(F)c(F)c2)n1,69000.0,inactive
CHEMBL421835,O=Cc1cccc(C(=O)Nc2ccc(Cl)c(Cl)c2)n1,100000.0,inactive
CHEMBL156403,COc1cccc(SC(=O)c2cccc(C=O)n2)c1,76000.0,inactive
CHEMBL155523,COc1ccccc1SC(=O)c1cccc(C=O)n1,100000.0,inactive
CHEMBL347642,O=Cc1cccc(C(=O)Sc2ccc(F)cc2)n1,64000.0,inactive
CHEMBL154764,O=Cc1cccc(C(=O)Sc2cccc(Cl)c2)n1,79000.0,inactive
CHEMBL421825,Cc1ncccc1/N=C/c1ccc(C#N)c(SCc2c(Cl)cccc2Cl)n1,1000.0,active
CHEMBL157229,O=Cc1cccc(C(=O)Sc2cc(Cl)ccc2Cl)n1,68000.0,inactive
CHEMBL440737,O=Cc1cccc(C(=O)Sc2c(Cl)cccc2Cl)n1,79000.0,inactive
CHEMBL351136,O=Cc1cccc(C(=O)Sc2c(Cl)cc(Cl)cc2Cl)n1,50000.0,inactive
CHEMBL156250,O=Cc1cccc(C(=O)Oc2ccc(Cl)c(Cl)c2)n1,100000.0,inactive
CHEMBL160642,N#Cc1ccc(C=O)nc1SCc1c(Cl)cccc1Cl,77000.0,inactive
CHEMBL345606,O=Cc1cccc(C(=O)Sc2ccccc2Cl)n1,84000.0,inactive
CHEMBL158024,Cc1cccc(SC(=O)c2cccc(C=O)n2)c1,76000.0,inactive
CHEMBL156703,Cc1ccccc1SC(=O)c1cccc(C=O)n1,100000.0,inactive
CHEMBL156110,O=Cc1cccc(C(=O)Sc2ccc(Cl)cc2)n1,33000.0,inactive
CHEMBL155734,O=Cc1cccc(C(=O)Sc2ccc(Br)cc2)n1,56000.0,inactive
CHEMBL345370,O=Cc1cccc(C(=O)Sc2ccc([N+](=O)[O-])cc2)n1,75000.0,inactive
CHEMBL156685,O=Cc1cccc(C(=O)Sc2ccc(Cl)c(Cl)c2)n1,24000.0,inactive
CHEMBL156121,COc1ccc(SC(=O)c2cccc(C=O)n2)cc1,91000.0,inactive
CHEMBL158129,Cc1ccc(SC(=O)c2cccc(C=O)n2)cc1,100000.0,inactive
CHEMBL157889,O=Cc1cccc(C(=O)Sc2cc(Cl)cc(Cl)c2)n1,64000.0,inactive
CHEMBL156480,COS(=O)(=O)[O-].Cc1cc2c3c([n+](C)c4ccc(Cl)cc4c3c1)-c1cc(Cl)ccc1N2C,250.0,active
CHEMBL157766,CN1c2ccccc2-c2c3c1cccc3c1ccccc1[n+]2C.[I-],380.0,active
CHEMBL156492,COS(=O)(=O)[O-].Cc1cc2c3c([n+](C)c4ccccc4c3c1)-c1ccccc1N2C,760.0,active
CHEMBL158083,COS(=O)(=O)[O-].Cc1cc2c3c([n+](C)c4ccc(F)cc4c3c1)-c1cc(F)ccc1N2C,330.0,active
CHEMBL403516,CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,37300.0,inactive
CHEMBL154643,CCN1c2ccccc2-c2c3c1cc(C)cc3c1ccccc1[n+]2CC.[I-],2000.0,intermediate
CHEMBL158365,COS(=O)(=O)[O-].Cc1ccc2c(c1)-c1c3c(cc(C)cc3c3cc(C)ccc3[n+]1C)N2C,250.0,active
CHEMBL144984,CN(C)CCC(=O)Nc1cccc2c1C(=O)c1c(NC(=O)CCN(C)C)cccc1C2=O,6400.0,intermediate
CHEMBL143452,C[N+]1(CCC(=O)Nc2ccc(NC(=O)CC[N+]3(C)CCCC3)c3c2C(=O)c2ccccc2C3=O)CCCC1.[I-].[I-],5000.0,intermediate
CHEMBL142900,C[N+]1(CCC(=O)Nc2cccc3c2C(=O)c2cccc(NC(=O)CC[N+]4(C)CCOCC4)c2C3=O)CCOCC1.[I-].[I-],13200.0,inactive
CHEMBL343238,C[N+]1(CCC(=O)Nc2cccc3c2C(=O)c2c(NC(=O)CC[N+]4(C)CCCCC4)cccc2C3=O)CCCCC1.[I-].[I-],7800.0,intermediate
CHEMBL144757,O=C(CCN1CCCC1)Nc1ccc2c(c1)C(=O)c1cc(NC(=O)CCN3CCCC3)ccc1C2=O,2000.0,intermediate
CHEMBL33505,O=C(CCN1CCOCC1)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CCN3CCOCC3)cc1C2=O,50000.0,inactive
CHEMBL344274,CC[N+](C)(CC)CCC(=O)Nc1cccc2c1C(=O)c1cccc(NC(=O)CC[N+](C)(CC)CC)c1C2=O.[I-].[I-],16800.0,inactive
CHEMBL144664,CCN(CC)CCC(=O)Nc1cccc2c1C(=O)c1cccc(NC(=O)CCN(CC)CC)c1C2=O,2700.0,intermediate
CHEMBL144303,CC[N+](C)(CC)CCC(=O)Nc1ccc(NC(=O)CC[N+](C)(CC)CC)c2c1C(=O)c1ccccc1C2=O.[I-].[I-],3100.0,intermediate
CHEMBL111417,C[N+](C)(C)CCC(=O)Nc1ccc(NC(=O)CC[N+](C)(C)C)c2c1C(=O)c1ccccc1C2=O.[I-].[I-],7000.0,intermediate
