,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL314057,CCN(CC)CC.O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)c1ccccc1,intermediate,682.1980000000005,8.375600000000006,4.0,5.0,5.136677139879544
1,CHEMBL266842,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,inactive,922.4169999999997,6.351100000000006,8.0,9.0,4.0
2,CHEMBL314847,CC(C)(C)OC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,inactive,594.0450000000004,6.129700000000007,4.0,6.0,4.0
3,CHEMBL86984,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,intermediate,775.3240000000003,8.461300000000005,4.0,7.0,5.022276394711152
4,CHEMBL87554,CCN(CC)CC.N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl,inactive,822.3,4.785100000000004,8.0,8.0,4.0
5,CHEMBL421541,CC(C)(C)OC(=O)N[C@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,inactive,864.4209999999996,9.679099999999998,6.0,7.0,4.0
6,CHEMBL313345,CCN(CC)CC.O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl)[C@H]1CCCN1,inactive,675.2070000000003,6.813800000000008,5.0,6.0,4.0
7,CHEMBL262163,CCN(CC)CC.N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,inactive,578.0900000000004,6.904300000000008,4.0,5.0,4.3448615651886175
8,CHEMBL407131,CC(C)(C)OC(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCC(=O)NCC(=O)NCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,inactive,922.4169999999997,6.351100000000006,8.0,9.0,4.0
9,CHEMBL315431,CCN(CC)CC.N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,inactive,725.2670000000006,7.631800000000008,5.0,6.0,4.0
10,CHEMBL315220,CC(C)(C)OC(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl.CCN(CC)CC,inactive,807.322,7.819900000000008,6.0,8.0,4.0
